Ano,Trimestre,Categoria,Tipo,CNPJ IF,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes  CCS e SCR,Quantidade de clientes  CCS,Quantidade de clientes  SCR,Unnamed: 14
2022,4º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,32778350,AME DIGITAL BRASIL INSTITUICAO DE PAGAMENTO LTDA,"1,28",40,38,14,92,31101626,31101415,1434,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ANDBANK (conglomerado), ,0,1,4,5,31197,4324,26901,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ASAAS (conglomerado), ,15,42,5,62,0,0,0,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,54403563,BANCO ARBI S.A., ,6,7,2,15,89501,89501, ,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,00997185,BANCO B3 S.A., ,1,0,3,4,1160,1160, ,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,02992446,BANCO CNH INDUSTRIAL CAPITAL S.A., ,0,3,4,7,29965,1306,28842,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,08357240,BANCO CSF S.A.,"6,31",51,75,39,165,8070375, ,8070375,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,04902979,BANCO DA AMAZONIA S.A., ,2,1,6,9,587752,516123,203435,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,92874270,BANCO DIGIMAIS S.A.,"170,35",56,35,50,141,328722,157369,208295,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,13009717,BANCO DO ESTADO DE SERGIPE S.A., ,29,30,15,74,1128708,851059,656226,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,04913711,BANCO DO ESTADO DO PARÁ S.A.,"33,68",34,21,10,65,1009445,886254,435161,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,07237373,BANCO DO NORDESTE DO BRASIL S.A., ,7,27,27,61,9384798,8816792,3284218,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,53518684,BANCO HSBC S.A., ,0,4,3,7,4057,4039,89,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,04866275,BANCO INBURSA S.A., ,16,7,4,27,39104,10,39096,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,91884981,BANCO JOHN DEERE S.A., ,0,1,0,1,13833,254,13641,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,07441209,BANCO MONEO S.A., ,0,1,0,1,1135,9,1128,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,78632767,BANCO OURINVEST S.A., ,1,7,3,11,307501,304060,3496,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,61820817,BANCO PAULISTA S.A., ,11,7,1,19,86056,8944,77420,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,01023570,BANCO RABOBANK INTERNATIONAL BRASIL S.A., ,0,0,1,1,3898,3708,1692,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,00517645,BANCO RIBEIRAO PRETO S.A., ,0,1,0,1,4759,4600,1853,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,00795423,BANCO SEMEAR S.A., ,0,5,2,7,312515,7354,306394,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BANCO SICOOB (conglomerado),"8,44",51,63,29,143,6040091,2687294,4066514,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,60518222,BANCO SUMITOMO MITSUI BRASILEIRO S.A., ,0,0,1,1,1180,1140,123,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,07679404,BANCO TOPÁZIO S.A., ,4,7,4,15,12744,11638,2727,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BANCO TOYOTA DO BRASIL S.A. (conglomerado), ,0,4,6,10,155246,15260,140846,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,17351180,BANCO TRIANGULO S.A., ,7,18,8,33,1744811,687146,1404832,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,57839805,BANCO TRICURY S.A., ,0,0,1,1,972,958,152,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BANESTES (conglomerado), ,25,19,8,52,1427677,1377261,487518,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BANRISUL (conglomerado),"6,33",33,285,65,383,5213189,3722651,4084171,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BARIGUI (conglomerado),"84,30",30,35,11,76,355853,322998,64206,
2022,4º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BB (conglomerado),"8,22",610,1863,962,3435,74126665,67500727,35771620,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BBC (conglomerado), ,1,4,5,10,6609, ,6609,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,20443996,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,0,1,198148,8,198143,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,11285104,"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,1,1,0,2,254,254, ,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BMG (conglomerado),"53,88",661,893,139,1693,12267412,7788639,6956142,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BMW (conglomerado), ,1,1,1,3,32997,31076,23175,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BNP PARIBAS (conglomerado),"32,84",63,278,50,391,1917938,10966,1907365,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BNQI - FINANCEIRO (conglomerado), ,29,32,16,77,0,0,0,
2022,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BOFA MERRILL LYNCH (conglomerado), ,0,2,0,2,4928,4923,122,
2022,4º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,BRADESCO (conglomerado),"21,64",2225,3075,1578,6878,102814534,97211510,39643150,
