Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
2021,3º,Demais bancos e financeiras,Banco/financeira,54403563.0,BANCO ARBI S.A., ,1,9,1,11,28673,20319,8520,
2021,3º,Demais bancos e financeiras,Banco/financeira,33132044.0,BANCO CEDULA S.A., ,0,1,0,1,18022,2815,15434,
2021,3º,Demais bancos e financeiras,Banco/financeira,2992446.0,BANCO CNH INDUSTRIAL CAPITAL S.A., ,0,0,1,1,28309,1234,27347,
2021,3º,Demais bancos e financeiras,Banco/financeira,8357240.0,BANCO CSF S.A.,"14,94",111,89,59,259,7425297, ,7425297,
2021,3º,Demais bancos e financeiras,Banco/financeira,4902979.0,BANCO DA AMAZONIA S.A., ,2,4,8,14,551874,473802,194373,
2021,3º,Demais bancos e financeiras,Banco/financeira,10690848.0,BANCO DA CHINA BRASIL S.A., ,1,0,0,1,481,457,39,
2021,3º,Demais bancos e financeiras,Banco/financeira,33042151.0,BANCO DE LA NACION ARGENTINA, ,0,1,0,1,256,244,21,
2021,3º,Demais bancos e financeiras,Banco/financeira,92874270.0,BANCO DIGIMAIS S.A.,"258,94",102,28,34,164,393906,266246,192853,
2021,3º,Demais bancos e financeiras,Banco/financeira,27098060.0,BANCO DIGIO S.A.,"31,05",58,108,71,237,1867547,1096662,1553737,
2021,3º,Demais bancos e financeiras,Banco/financeira,13009717.0,BANCO DO ESTADO DE SERGIPE S.A., ,10,23,17,50,1082245,831407,621508,
2021,3º,Demais bancos e financeiras,Banco/financeira,4913711.0,BANCO DO ESTADO DO PARÁ S.A.,"42,87",39,23,23,85,909670,786497,405982,
2021,3º,Demais bancos e financeiras,Banco/financeira,7237373.0,BANCO DO NORDESTE DO BRASIL S.A., ,13,23,37,73,8844660,8261233,3268835,
2021,3º,Demais bancos e financeiras,Banco/financeira,58616418.0,BANCO FIBRA S.A., ,0,0,1,1,163670,4092,160152,
2021,3º,Demais bancos e financeiras,Banco/financeira,62237425.0,BANCO FIDIS S/A, ,0,7,4,11,4661,147,4533,
2021,3º,Demais bancos e financeiras,Banco/financeira,53518684.0,BANCO HSBC S.A., ,0,0,2,2,3087,3074,58,
2021,3º,Demais bancos e financeiras,Banco/financeira,4866275.0,BANCO INBURSA S.A., ,5,5,5,15,14726,9,14717,
